source,target,model,normalization,threshold_policy,elapsed_sec,n_train,n_test,n_train_groups,best_threshold,best_params,accuracy,balanced_accuracy,macro_f1,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,roc_auc
campanella,nurse,svm,per_subject,fixed_0.5,4.11,1844,1720,26,0.5,"{'clf__C': 1.0, 'clf__gamma': 'scale'}",0.6697674418604651,0.5023734613898548,0.5021596048911636,0.2238372093023256,0.2037037037037037,0.21329639889196675,0.78125,0.801043219076006,0.7910228108903605,0.5856377987525528
campanella,nurse,xgb,per_subject,fixed_0.5,7.37,1844,1720,26,0.5,"{'clf__learning_rate': 0.05, 'clf__max_depth': 4, 'clf__n_estimators': 200}",0.5482558139534883,0.5195219170629006,0.48824401804494694,0.2350597609561753,0.46825396825396826,0.3129973474801061,0.7921406411582212,0.5707898658718331,0.6634906886097878,0.5371996703963917
campanella,nurse,rf,per_subject,source_tuned,16.22,1844,1720,26,0.59,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 200}",0.5808139534883721,0.5109309330620806,0.4955890685204415,0.22992125984251968,0.3862433862433862,0.2882527147087858,0.7861751152073733,0.6356184798807749,0.7029254223320972,0.5577831397503529
campanella,nurse,svm,per_subject,source_tuned,5.59,1844,1720,26,0.48999999999999994,"{'clf__C': 1.0, 'clf__gamma': 'scale'}",0.6691860465116279,0.4991503639044622,0.498727457768449,0.2182890855457227,0.19576719576719576,0.20641562064156208,0.779869659666908,0.8025335320417287,0.791039294895336,0.5856377987525528
campanella,nurse,xgb,per_subject,source_tuned,7.91,1844,1720,26,0.5599999999999999,"{'clf__learning_rate': 0.05, 'clf__max_depth': 4, 'clf__n_estimators': 200}",0.5081395348837209,0.5280202493317248,0.47234212908166817,0.23825503355704697,0.5634920634920635,0.33490566037735847,0.8002421307506054,0.49254843517138597,0.6097785977859779,0.5371996703963917
campanella,nurse,rf,global,fixed_0.5,15.75,1844,1720,26,0.5,"{'clf__max_depth': None, 'clf__min_samples_leaf': 4, 'clf__n_estimators': 400}",0.6866279069767441,0.5074771919034214,0.5065781245093484,0.23432343234323433,0.18783068783068782,0.20851688693098386,0.7833450952717008,0.827123695976155,0.8046393620877129,0.5383243047177473
campanella,nurse,svm,global,fixed_0.5,5.12,1844,1720,26,0.5,"{'clf__C': 4.0, 'clf__gamma': 'scale'}",0.6145348837209302,0.4546262783967702,0.45576867734836846,0.1549636803874092,0.1693121693121693,0.16182048040455121,0.7597551644988524,0.7399403874813711,0.7497168742921857,0.46322021936776037
campanella,nurse,xgb,global,fixed_0.5,8.02,1844,1720,26,0.5,"{'clf__learning_rate': 0.1, 'clf__max_depth': 6, 'clf__n_estimators': 200}",0.5784883720930233,0.5293942548040909,0.5054489845047292,0.24522760646108663,0.4417989417989418,0.3153918791312559,0.7969201154956689,0.61698956780924,0.6955060898782024,0.5200600856338562
campanella,nurse,rf,global,source_tuned,22.59,1844,1720,26,0.5099999999999999,"{'clf__max_depth': None, 'clf__min_samples_leaf': 4, 'clf__n_estimators': 400}",0.6773255813953488,0.5053166323658127,0.5049204558714847,0.22935779816513763,0.1984126984126984,0.2127659574468085,0.782483847810481,0.812220566318927,0.7970749542961609,0.5383243047177473
campanella,nurse,svm,global,source_tuned,7.63,1844,1720,26,0.5099999999999999,"{'clf__C': 4.0, 'clf__gamma': 'scale'}",0.6058139534883721,0.45663898942587466,0.4581030819759888,0.16216216216216217,0.19047619047619047,0.17518248175182483,0.7601880877742947,0.7228017883755589,0.7410236822001528,0.46322021936776037
