dataset,model,held_out,n_test,n_train,n_test_pos,n_test_neg,best_threshold,best_params,accuracy,balanced_accuracy,macro_f1,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,roc_auc
wesad,xgb,S13,62,857.0,22,40,0.09999999999999999,"{'clf__learning_rate': 0.1, 'clf__max_depth': 4, 'clf__n_estimators': 400}",0.3064516129032258,0.31931818181818183,0.3048239895697523,0.44,0.275,0.3384615384615385,0.21621621621621623,0.36363636363636365,0.2711864406779661,0.3738636363636364
wesad,xgb,S14,62,857.0,22,40,0.4099999999999999,"{'clf__learning_rate': 0.05, 'clf__max_depth': 4, 'clf__n_estimators': 400}",0.6451612903225806,0.5818181818181818,0.5826193390452876,0.6956521739130435,0.8,0.7441860465116279,0.5,0.36363636363636365,0.42105263157894735,0.7454545454545455
wesad,xgb,S15,62,857.0,23,39,0.16999999999999998,"{'clf__learning_rate': 0.05, 'clf__max_depth': 4, 'clf__n_estimators': 400}",0.6290322580645161,0.5,0.38613861386138615,0.6290322580645161,1.0,0.7722772277227723,0.0,0.0,0.0,0.5050167224080268
wesad,xgb,S16,61,858.0,22,39,0.4599999999999999,"{'clf__learning_rate': 0.1, 'clf__max_depth': 4, 'clf__n_estimators': 400}",0.7540983606557377,0.7284382284382285,0.7306446864880778,0.8,0.8205128205128205,0.810126582278481,0.6666666666666666,0.6363636363636364,0.6511627906976745,0.7738927738927739
wesad,xgb,S17,63,856.0,24,39,0.4099999999999999,"{'clf__learning_rate': 0.05, 'clf__max_depth': 4, 'clf__n_estimators': 200}",0.8571428571428571,0.8365384615384616,0.8444444444444444,0.8571428571428571,0.9230769230769231,0.8888888888888888,0.8571428571428571,0.75,0.8,0.9455128205128205
wesad,xgb,S2,59,860.0,21,38,0.42999999999999994,"{'clf__learning_rate': 0.05, 'clf__max_depth': 4, 'clf__n_estimators': 200}",0.3559322033898305,0.5,0.2625,0.0,0.0,0.0,0.3559322033898305,1.0,0.525,0.9248120300751879
wesad,xgb,S3,60,859.0,22,38,0.6,"{'clf__learning_rate': 0.05, 'clf__max_depth': 4, 'clf__n_estimators': 200}",0.9833333333333333,0.9772727272727273,0.9818785865297492,0.9743589743589743,1.0,0.987012987012987,1.0,0.9545454545454546,0.9767441860465116,1.0
wesad,xgb,S4,60,859.0,21,39,0.3,"{'clf__learning_rate': 0.05, 'clf__max_depth': 4, 'clf__n_estimators': 200}",0.36666666666666664,0.5128205128205128,0.28750000000000003,1.0,0.02564102564102564,0.05,0.3559322033898305,1.0,0.525,0.9108669108669109
wesad,xgb,S5,61,858.0,21,40,0.4699999999999999,"{'clf__learning_rate': 0.05, 'clf__max_depth': 4, 'clf__n_estimators': 400}",0.8360655737704918,0.8523809523809525,0.8282657657657657,0.9411764705882353,0.8,0.8648648648648649,0.7037037037037037,0.9047619047619048,0.7916666666666666,0.907142857142857
wesad,xgb,S6,61,858.0,22,39,0.15999999999999998,"{'clf__learning_rate': 0.05, 'clf__max_depth': 4, 'clf__n_estimators': 400}",0.8852459016393442,0.9003496503496504,0.8806262230919765,0.9705882352941176,0.8461538461538461,0.9041095890410958,0.7777777777777778,0.9545454545454546,0.8571428571428571,0.9883449883449884
wesad,xgb,S7,60,859.0,21,39,0.48999999999999994,"{'clf__learning_rate': 0.05, 'clf__max_depth': 4, 'clf__n_estimators': 200}",0.9666666666666667,0.9523809523809523,0.9624999999999999,0.9512195121951219,1.0,0.975,1.0,0.9047619047619048,0.95,0.9975579975579976
wesad,xgb,S8,62,857.0,23,39,0.4499999999999999,"{'clf__learning_rate': 0.05, 'clf__max_depth': 6, 'clf__n_estimators': 400}",0.8709677419354839,0.8439241917502787,0.8559814169570268,0.8604651162790697,0.9487179487179487,0.9024390243902439,0.8947368421052632,0.7391304347826086,0.8095238095238095,0.9096989966555185
wesad,xgb,S9,60,859.0,21,39,0.33999999999999997,"{'clf__learning_rate': 0.05, 'clf__max_depth': 4, 'clf__n_estimators': 400}",0.8666666666666667,0.8864468864468864,0.8611111111111112,0.9696969696969697,0.8205128205128205,0.8888888888888888,0.7407407407407407,0.9523809523809523,0.8333333333333334,0.9340659340659341
wesad,xgb,POOLED,919,,332,587,,None,0.7551686615886833,0.7566629379528336,0.7444752149299878,0.8480769230769231,0.7512776831345827,0.7967479674796748,0.6340852130325815,0.7620481927710844,0.6922024623803009,0.8273075265286016
